,status,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price,prev_sold_year
463615,for_sale,1.0,1.0,,Bayonne,New Jersey,7002.0,900.0,,199000.0,
463616,for_sale,2.0,4.0,,Bayonne,New Jersey,7002.0,,,369999.0,
463617,for_sale,2.0,2.0,,Bayonne,New Jersey,7002.0,1560.0,,420000.0,
463618,for_sale,2.0,1.0,,Bayonne,New Jersey,7002.0,781.0,,309500.0,
463619,for_sale,4.0,4.0,0.06,Bayonne,New Jersey,7002.0,,2011-03-02,859000.0,2011.0
463620,for_sale,4.0,3.0,0.07,Bayonne,New Jersey,7002.0,1924.0,2008-10-23,649000.0,2008.0
463621,for_sale,2.0,2.0,0.03,Bayonne,New Jersey,7002.0,,2007-06-26,389000.0,2007.0
463622,for_sale,3.0,1.0,0.09,Bayonne,New Jersey,7002.0,1328.0,,545000.0,
463623,for_sale,3.0,3.0,0.06,Bayonne,New Jersey,7002.0,1315.0,2016-05-17,495000.0,2016.0
463624,for_sale,4.0,3.0,,Bayonne,New Jersey,7002.0,,2021-11-19,650000.0,2021.0
463625,for_sale,4.0,3.0,0.06,Bayonne,New Jersey,7002.0,,,600000.0,
463626,for_sale,1.0,1.0,,Bayonne,New Jersey,7002.0,450.0,,180000.0,
463627,for_sale,4.0,3.0,0.09,Bayonne,New Jersey,7002.0,,2016-06-14,629000.0,2016.0
463628,for_sale,4.0,2.0,0.05,Bayonne,New Jersey,7002.0,,1995-12-07,399000.0,1995.0
463629,for_sale,4.0,3.0,0.06,Bayonne,New Jersey,7002.0,,,645000.0,
463630,for_sale,5.0,3.0,0.09,Bayonne,New Jersey,7002.0,,2001-02-16,575000.0,2001.0
463631,for_sale,4.0,2.0,0.05,Bayonne,New Jersey,7002.0,,2021-10-07,420000.0,2021.0
463632,for_sale,6.0,5.0,0.07,Bayonne,New Jersey,7002.0,,,750000.0,
463633,for_sale,6.0,2.0,0.09,Bayonne,New Jersey,7002.0,,1999-11-04,684000.0,1999.0
463634,for_sale,5.0,3.0,0.16,Bayonne,New Jersey,7002.0,2275.0,,899000.0,
463635,for_sale,6.0,3.0,0.07,Bayonne,New Jersey,7002.0,,1993-03-25,750000.0,1993.0
463636,for_sale,6.0,3.0,,Bayonne,New Jersey,7002.0,,,739900.0,
463637,for_sale,3.0,3.0,0.16,Bloomfield,New Jersey,7003.0,,,355000.0,
463638,for_sale,2.0,4.0,0.28,Bloomfield,New Jersey,7003.0,1400.0,2015-08-17,370000.0,2015.0
463639,for_sale,2.0,1.0,0.06,Bloomfield,New Jersey,7003.0,,2021-12-07,299000.0,2021.0
463641,for_sale,3.0,2.0,0.09,Bloomfield,New Jersey,7003.0,,2015-03-20,499000.0,2015.0
463642,for_sale,3.0,3.0,,Bloomfield,New Jersey,7003.0,,1992-09-24,420000.0,1992.0
463643,for_sale,3.0,3.0,0.25,Bloomfield,New Jersey,7003.0,,2021-04-27,579000.0,2021.0
463644,for_sale,3.0,2.0,0.2,Bloomfield,New Jersey,7003.0,,,479900.0,
463645,for_sale,3.0,2.0,0.09,Bloomfield,New Jersey,7003.0,,2021-07-23,575000.0,2021.0
463646,for_sale,6.0,3.0,0.08,Bloomfield,New Jersey,7003.0,3395.0,1994-06-17,610000.0,1994.0
463647,for_sale,2.0,1.0,0.12,Bloomfield,New Jersey,7003.0,1112.0,2003-10-29,215000.0,2003.0
463648,for_sale,3.0,2.0,0.13,Bloomfield,New Jersey,7003.0,,2006-08-28,479000.0,2006.0
463649,for_sale,3.0,3.0,0.22,Bloomfield,New Jersey,7003.0,,2021-08-27,410000.0,2021.0
463650,for_sale,1.0,1.0,,Bloomfield,New Jersey,7003.0,595.0,2002-12-20,169961.0,2002.0
463651,for_sale,8.0,4.0,0.11,Bloomfield,New Jersey,7003.0,,2020-01-30,750000.0,2020.0
463652,for_sale,2.0,2.0,0.09,Bloomfield,New Jersey,7003.0,,2013-05-30,379888.0,2013.0
