,bed,bath,acre_lot,zip_code,house_size,prev_sold_date,price
896,3.0,3.0,0.11,7023.0,1500.0,2016-06-07,635000.0
897,3.0,2.0,0.13,7023.0,1500.0,2018-10-30,625000.0
900,4.0,4.0,0.12,7023.0,2600.0,2019-07-01,850000.0
907,3.0,2.0,0.94,7009.0,1500.0,2017-08-03,749999.0
920,4.0,4.0,0.12,7009.0,1900.0,2021-09-29,724999.0
962,7.0,4.0,0.14,7026.0,1500.0,2019-06-24,699900.0
963,3.0,2.0,0.06,7026.0,1500.0,2018-02-05,389000.0
972,3.0,2.0,0.11,7026.0,1500.0,2021-05-05,345000.0
975,3.0,2.0,0.06,7026.0,1500.0,2021-04-22,489999.0
984,6.0,5.0,0.14,7026.0,1500.0,2021-06-03,879000.0
987,6.0,4.0,0.04,7026.0,1800.0,2019-05-13,589000.0
991,5.0,3.0,0.09,7026.0,2600.0,2020-05-21,679000.0
1015,3.0,2.0,0.11,7024.0,1500.0,2016-09-29,589000.0
1035,1.0,1.0,0.11,7011.0,1500.0,2021-02-03,179995.0
1049,4.0,3.0,0.16,7011.0,1500.0,2021-06-01,729000.0
1055,2.0,2.0,0.11,7010.0,1500.0,2020-11-10,479900.0
1059,3.0,3.0,0.11,7010.0,1500.0,2017-05-12,499000.0
1061,1.0,2.0,0.11,7010.0,1500.0,2021-04-13,389000.0
1065,6.0,4.0,0.11,7010.0,1500.0,2020-05-05,999000.0
1067,1.0,2.0,0.11,7010.0,1500.0,2020-03-03,429000.0
1069,3.0,3.0,0.11,7010.0,1500.0,2016-07-18,530000.0
1074,2.0,2.0,0.11,7010.0,1500.0,2019-09-23,698000.0
1082,4.0,3.0,0.11,7010.0,1500.0,2017-10-16,1199000.0
1107,2.0,2.0,0.11,7024.0,1500.0,2016-10-19,385000.0
1109,2.0,2.0,0.11,7024.0,1500.0,2017-01-19,369000.0
1111,2.0,3.0,0.11,7024.0,1500.0,2020-03-17,549000.0
1112,5.0,4.0,0.14,7024.0,1500.0,2019-08-15,1350000.0
1115,2.0,2.0,0.11,7024.0,1500.0,2020-01-29,385000.0
1116,2.0,3.0,0.11,7024.0,1500.0,2018-02-13,949000.0
1117,2.0,3.0,0.11,7024.0,1500.0,2019-06-15,897000.0
1123,2.0,3.0,0.11,7024.0,1500.0,2016-05-24,530000.0
1129,5.0,5.0,0.11,7024.0,1500.0,2021-05-13,1800000.0
1139,4.0,4.0,0.13,7014.0,2200.0,2021-03-09,899000.0
1150,2.0,2.0,0.11,7024.0,1500.0,2018-11-27,398000.0
1152,1.0,1.0,0.11,7024.0,1500.0,2016-04-29,285000.0
1153,1.0,1.0,0.11,7024.0,1500.0,2019-07-30,270000.0
1158,1.0,1.0,0.11,7024.0,1500.0,2021-03-08,275000.0
1167,3.0,4.0,0.11,7024.0,1500.0,2018-05-17,948000.0
1169,2.0,2.0,0.11,7024.0,1500.0,2020-08-10,548000.0
1170,2.0,2.0,0.11,7024.0,1500.0,2018-09-10,525000.0
1181,3.0,4.0,0.11,7024.0,1500.0,2018-01-10,1279000.0
1199,1.0,1.0,0.11,7024.0,1500.0,2018-02-09,360000.0
1200,1.0,1.0,0.11,7024.0,1500.0,2018-01-25,279000.0
1201,2.0,3.0,0.11,7024.0,1500.0,2016-11-09,625000.0
1211,3.0,4.0,0.11,7024.0,1500.0,2021-01-27,879000.0
1214,1.0,1.0,0.11,7024.0,1500.0,2022-01-13,295000.0
1216,3.0,4.0,0.11,7024.0,1500.0,2021-03-01,1399000.0
1222,4.0,3.0,0.05,7017.0,1500.0,2021-06-14,349000.0
1224,3.0,4.0,0.02,7017.0,1636.0,2019-03-13,380000.0
1227,6.0,4.0,0.18,7017.0,1500.0,2016-03-16,500000.0
1229,4.0,2.0,0.17,7017.0,1500.0,2018-08-08,180999.0
