,status,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price,prev_sold_year
447007,for_sale,2.0,1.0,0.95,Woodbury,Connecticut,6798.0,873.0,2021-10-15,274900.0,2021.0
447014,for_sale,4.0,2.0,1.53,Woodbury,Connecticut,6798.0,1875.0,,449900.0,
447052,for_sale,5.0,3.0,1.9,Southbury,Connecticut,6488.0,4384.0,2019-10-17,869000.0,2019.0
447054,for_sale,3.0,2.0,3.08,Woodbury,Connecticut,6798.0,1889.0,2013-03-06,449000.0,2013.0
447081,for_sale,2.0,2.0,,Southbury,Connecticut,6488.0,1398.0,2016-04-20,260000.0,2016.0
447116,for_sale,4.0,3.0,21.07,Roxbury,Connecticut,6783.0,4062.0,,1150000.0,
447175,for_sale,2.0,1.0,1.13,Middlebury,Connecticut,6762.0,728.0,2019-10-29,235900.0,2019.0
447180,for_sale,3.0,2.0,0.3,Naugatuck,Connecticut,6770.0,1662.0,2009-04-29,275000.0,2009.0
447184,for_sale,3.0,2.0,0.36,Washington,Connecticut,6794.0,1279.0,1994-03-25,469000.0,1994.0
447195,for_sale,2.0,2.0,,Southbury,Connecticut,6488.0,1432.0,1993-11-01,240000.0,1993.0
447205,for_sale,5.0,7.0,13.0,Washington,Connecticut,6793.0,5875.0,2002-08-05,1995000.0,2002.0
447209,for_sale,3.0,2.0,,Southbury,Connecticut,6488.0,1716.0,2003-10-02,325000.0,2003.0
447235,for_sale,2.0,1.0,0.34,Woodbury,Connecticut,6798.0,1250.0,2006-05-15,345000.0,2006.0
447256,for_sale,4.0,4.0,,Litchfield,Connecticut,6750.0,2512.0,,639900.0,
447263,for_sale,4.0,4.0,1.19,Warren,Connecticut,6777.0,3151.0,1993-04-07,3995000.0,1993.0
447266,for_sale,2.0,3.0,,Washington,Connecticut,6777.0,1698.0,1999-09-01,420000.0,1999.0
447267,for_sale,7.0,9.0,23.26,Bridgewater,Connecticut,6752.0,7500.0,1993-09-17,4800000.0,1993.0
447268,for_sale,3.0,2.0,,New Milford,Connecticut,6776.0,1776.0,2020-04-02,259000.0,2020.0
447273,for_sale,3.0,1.0,1.5,Woodbury,Connecticut,6798.0,1101.0,2020-06-01,349900.0,2020.0
447275,for_sale,4.0,3.0,9.13,Kent,Connecticut,6757.0,2272.0,2018-04-23,900000.0,2018.0
447283,for_sale,3.0,2.0,0.61,New Milford,Connecticut,6776.0,2214.0,2005-07-28,379900.0,2005.0
447296,for_sale,,,3.3,Bethlehem,Connecticut,6751.0,,,99000.0,
447303,for_sale,,,10.56,Warren,Connecticut,6754.0,,,150000.0,
447306,for_sale,,,9.13,Warren,Connecticut,6754.0,,,119000.0,
447307,for_sale,,,4.0,Warren,Connecticut,6754.0,,,74500.0,
447309,for_sale,,,3.3,Cornwall,Connecticut,6754.0,,,110000.0,
447313,for_sale,,,19.9,Cornwall,Connecticut,6754.0,,,289000.0,
447314,for_sale,,,20.35,Warren,Connecticut,6754.0,,,299000.0,
447316,for_sale,,,248.0,Warren,Connecticut,6754.0,,,1785000.0,
447335,for_sale,5.0,5.0,2.66,Woodbury,Connecticut,6798.0,6194.0,2018-12-21,1895000.0,2018.0
447346,for_sale,1.0,1.0,,Southbury,Connecticut,6488.0,928.0,2003-11-21,167000.0,2003.0
447353,for_sale,4.0,3.0,1.39,Southbury,Connecticut,6488.0,2933.0,2011-12-07,649900.0,2011.0
447360,for_sale,2.0,2.0,1.99,New Milford,Connecticut,6755.0,2131.0,,250000.0,
447361,for_sale,3.0,3.0,1.01,New Milford,Connecticut,6755.0,1289.0,2005-09-20,445900.0,2005.0
447362,for_sale,3.0,4.0,0.75,New Milford,Connecticut,6755.0,1952.0,2011-12-28,445000.0,2011.0
447363,for_sale,1.0,2.0,0.33,New Milford,Connecticut,6755.0,3660.0,,365000.0,
447364,for_sale,6.0,2.0,1.37,New Milford,Connecticut,6755.0,3196.0,2003-03-24,375000.0,2003.0
447365,for_sale,3.0,3.0,6.2,New Milford,Connecticut,6755.0,2206.0,2006-11-17,475000.0,2006.0
447366,for_sale,4.0,3.0,2.36,New Milford,Connecticut,6755.0,2440.0,2018-10-04,469900.0,2018.0
447367,for_sale,3.0,3.0,2.4,New Milford,Connecticut,6755.0,2332.0,,575000.0,
447370,for_sale,4.0,3.0,3.41,Bethel,Connecticut,6801.0,3274.0,1994-08-30,749000.0,1994.0
447378,for_sale,4.0,3.0,0.46,Danbury,Connecticut,6811.0,1646.0,1991-07-30,485000.0,1991.0
447379,for_sale,1.0,1.0,0.24,Bethel,Connecticut,6801.0,644.0,2005-06-27,269000.0,2005.0
447381,for_sale,3.0,3.0,0.46,Danbury,Connecticut,6811.0,1200.0,2018-03-01,430000.0,2018.0
447382,for_sale,2.0,2.0,,Danbury,Connecticut,6810.0,1256.0,2005-09-16,279900.0,2005.0
447405,for_sale,3.0,2.0,1.05,Woodbury,Connecticut,6798.0,2437.0,2021-03-18,995000.0,2021.0
