,bed,bath,acre_lot,zip_code,house_size,prev_sold_date,price
1093,3.0,2.0,0.52,6040.0,1416.0,2021-10-01,264900.0
1100,5.0,3.0,0.57,6066.0,1428.0,2020-08-18,260000.0
1117,3.0,3.0,2.59,6238.0,1800.0,2021-10-18,384900.0
1122,3.0,1.0,0.33,6042.0,968.0,2018-08-01,219900.0
1125,3.0,3.0,0.69,6016.0,2136.0,2020-10-05,354900.0
1128,4.0,3.0,0.45,6066.0,1527.0,2021-10-27,339900.0
1137,3.0,3.0,0.7,6040.0,1930.0,2018-12-11,399900.0
1144,3.0,3.0,0.92,6033.0,1430.0,2019-05-31,439000.0
1160,3.0,2.0,0.39,6042.0,1770.0,2018-04-16,289900.0
1168,4.0,3.0,2.59,6238.0,2654.0,2020-09-15,574900.0
1177,3.0,3.0,1.01,6238.0,2161.0,2021-04-01,399900.0
1182,4.0,2.0,0.32,6118.0,1576.0,2018-01-19,269900.0
1183,3.0,3.0,0.98,6071.0,1404.0,2019-07-09,349900.0
1191,3.0,4.0,1.26,6447.0,1656.0,2020-07-13,365000.0
1192,1.0,1.0,1.51,6238.0,928.0,2020-12-14,199900.0
1200,3.0,1.0,0.72,6084.0,1188.0,2018-09-26,270000.0
1205,3.0,3.0,2.97,6084.0,2886.0,2020-09-01,450000.0
1206,3.0,2.0,1.08,6248.0,1478.0,2017-10-26,300000.0
1208,3.0,1.0,1.15,6237.0,1827.0,2017-12-04,340000.0
1210,1.0,1.0,0.17,6066.0,793.0,2020-12-01,89900.0
1211,3.0,2.0,0.16,6016.0,1320.0,2021-04-06,214900.0
1213,2.0,1.0,0.14,6040.0,1030.0,2020-06-02,189900.0
1214,3.0,2.0,3.04,6084.0,1120.0,2017-03-16,289000.0
1218,3.0,2.0,0.86,6447.0,1400.0,2020-09-28,335000.0
1219,4.0,3.0,1.33,6033.0,1376.0,2017-08-01,400000.0
1221,3.0,1.0,0.23,6238.0,1258.0,2018-10-02,174000.0
1225,4.0,2.0,1.45,6066.0,1772.0,2018-05-09,274900.0
1227,2.0,2.0,0.17,6088.0,1099.0,2018-10-25,184900.0
1230,3.0,2.0,0.94,6029.0,1939.0,2021-06-16,469900.0
1232,4.0,4.0,2.58,6066.0,3072.0,2019-10-07,549900.0
1234,3.0,3.0,0.48,6074.0,1872.0,2020-06-17,369900.0
1235,3.0,2.0,1.37,6040.0,1526.0,2017-09-25,329900.0
1247,3.0,3.0,1.48,6232.0,1124.0,2021-09-13,299000.0
1249,4.0,2.0,0.36,6043.0,2208.0,2020-07-13,319900.0
1251,2.0,2.0,0.17,6066.0,910.0,2016-02-17,109900.0
1253,3.0,3.0,0.43,6066.0,1471.0,2016-05-26,279900.0
1255,4.0,4.0,0.57,6033.0,1920.0,2021-04-29,444900.0
1256,3.0,2.0,0.46,6042.0,1426.0,2019-07-18,274900.0
1268,3.0,3.0,6.23,6238.0,1531.0,2021-04-28,299900.0
1270,4.0,2.0,0.14,6108.0,1606.0,2021-04-05,229000.0
1273,4.0,2.0,0.96,6076.0,1426.0,2020-08-06,229900.0
1279,3.0,2.0,1.52,6238.0,1600.0,2019-12-31,349900.0
1284,2.0,2.0,0.17,6084.0,1348.0,2019-03-04,309900.0
1289,4.0,2.0,2.57,6279.0,1646.0,2019-06-24,340000.0
1300,2.0,1.0,0.14,6042.0,725.0,2017-08-04,189900.0
1301,4.0,4.0,0.96,6029.0,3127.0,2016-11-14,695000.0
1306,4.0,3.0,1.0,6084.0,2192.0,2019-04-08,350000.0
1310,4.0,3.0,0.68,6066.0,2090.0,2020-07-24,359900.0
1311,3.0,3.0,0.36,6118.0,1274.0,2021-10-15,329900.0
1312,3.0,2.0,3.2,6238.0,1730.0,2021-10-13,379900.0
1313,3.0,3.0,1.4,6016.0,2028.0,2019-10-15,469999.0
1316,3.0,3.0,0.9,6095.0,2455.0,2020-09-15,439000.0
1342,2.0,2.0,2.0,6242.0,1014.0,2020-12-16,174900.0
1346,3.0,2.0,0.48,6278.0,1152.0,2020-07-20,74900.0
1358,3.0,3.0,0.75,6095.0,1440.0,2016-03-02,299900.0
1362,4.0,3.0,0.23,6095.0,1431.0,2019-05-17,240000.0
1365,3.0,2.0,0.74,6095.0,1534.0,2016-03-17,299900.0
1372,3.0,1.0,0.61,6074.0,912.0,2019-03-13,244900.0
1380,4.0,3.0,0.92,6095.0,1960.0,2020-08-14,359900.0
1384,3.0,1.0,2.0,6278.0,1008.0,2017-06-07,250000.0
1387,2.0,2.0,0.17,6095.0,1146.0,2021-11-30,240000.0
1396,2.0,2.0,0.17,6066.0,1100.0,2017-08-14,119900.0
1403,3.0,2.0,0.34,6790.0,1508.0,2020-05-05,199000.0
1405,3.0,4.0,0.2,6093.0,1286.0,2017-06-15,375000.0
1454,4.0,2.0,0.69,6029.0,1575.0,2021-06-07,294999.0
1463,4.0,3.0,2.2,6268.0,2028.0,2019-04-22,370000.0
1466,4.0,4.0,7.4,6247.0,3840.0,2017-04-25,675000.0
1469,3.0,3.0,3.0,6281.0,1970.0,2016-06-07,435000.0
1475,3.0,3.0,1.31,6281.0,2292.0,2018-09-17,465000.0
1487,2.0,1.0,4.9,6235.0,1280.0,2020-06-04,265000.0
1488,5.0,4.0,1.25,6281.0,2971.0,2017-11-28,575000.0
1500,3.0,2.0,0.3,6282.0,1263.0,2018-12-10,349900.0
1507,3.0,1.0,0.27,6042.0,1154.0,2017-06-08,224900.0
1526,5.0,2.0,0.73,6002.0,2152.0,2016-08-12,289900.0
1527,3.0,2.0,0.22,6095.0,1660.0,2018-12-19,324500.0
1529,3.0,2.0,0.63,6074.0,1152.0,2018-03-15,227000.0
1532,2.0,3.0,0.17,6095.0,1536.0,2019-04-23,269900.0
1534,3.0,2.0,0.9,6002.0,1624.0,2020-07-06,265000.0
1535,3.0,3.0,0.66,6095.0,2286.0,2017-11-09,399000.0
1539,4.0,3.0,0.56,6002.0,3267.0,2020-03-05,495000.0
1541,3.0,3.0,0.17,6095.0,1737.0,2016-11-18,290000.0
1542,3.0,2.0,0.47,6026.0,1368.0,2018-04-11,250000.0
1545,3.0,3.0,0.34,6002.0,1348.0,2017-07-25,225000.0
1547,3.0,3.0,0.52,6002.0,1342.0,2020-03-09,279900.0
1548,3.0,2.0,0.41,6002.0,1749.0,2016-05-18,375000.0
1551,4.0,3.0,0.68,6002.0,1352.0,2020-06-02,299900.0
1565,3.0,2.0,2.45,6260.0,1152.0,2021-05-17,105000.0
1567,3.0,1.0,1.17,6255.0,912.0,2022-02-17,269900.0
1574,4.0,5.0,4.98,6255.0,4388.0,2021-05-06,825000.0
