,status,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price,prev_sold_year
636899,for_sale,5.0,2.0,0.02,Philadelphia,Pennsylvania,19121.0,1710.0,2013-11-12,245000.0,2013.0
636900,for_sale,3.0,2.0,0.02,Philadelphia,Pennsylvania,19134.0,1304.0,2018-08-02,299900.0,2018.0
636902,for_sale,6.0,4.0,0.06,Philadelphia,Pennsylvania,19139.0,2475.0,2018-01-16,674900.0,2018.0
636904,for_sale,6.0,9.0,1.51,Newtown Square,Pennsylvania,19073.0,9390.0,2005-03-01,2489000.0,2005.0
636905,for_sale,2.0,2.0,,Philadelphia,Pennsylvania,19106.0,1800.0,,699900.0,
636906,for_sale,3.0,3.0,,Media,Pennsylvania,19063.0,1717.0,,492445.0,
636907,for_sale,3.0,1.0,0.02,Philadelphia,Pennsylvania,19146.0,1021.0,2013-03-26,145000.0,2013.0
636908,for_sale,6.0,,0.1,Philadelphia,Pennsylvania,19133.0,6000.0,2019-10-28,375000.0,2019.0
636909,for_sale,2.0,2.0,,Philadelphia,Pennsylvania,19123.0,1300.0,,532000.0,
636910,for_sale,6.0,6.0,0.92,Gladwyne,Pennsylvania,19035.0,6929.0,1984-02-01,1635000.0,1984.0
636911,for_sale,3.0,3.0,0.02,Newtown Square,Pennsylvania,19073.0,2200.0,,739990.0,
636912,for_sale,2.0,2.0,,Philadelphia,Pennsylvania,19125.0,1300.0,,509000.0,
636913,for_sale,,,0.15,Philadelphia,Pennsylvania,19128.0,,,1680000.0,
636914,for_sale,3.0,4.0,,Philadelphia,Pennsylvania,19147.0,3079.0,,1199000.0,
636915,for_sale,3.0,2.0,0.02,Philadelphia,Pennsylvania,19132.0,900.0,,160000.0,
636916,for_sale,,,,Clifton Heights,Pennsylvania,19018.0,,2006-04-13,39000.0,2006.0
636917,for_sale,3.0,2.0,0.03,Philadelphia,Pennsylvania,19142.0,1260.0,1983-12-12,169900.0,1983.0
636918,for_sale,2.0,1.0,0.05,Darby,Pennsylvania,19023.0,1120.0,2021-05-21,165000.0,2021.0
636919,for_sale,4.0,3.0,0.61,Aston,Pennsylvania,19014.0,1615.0,2021-10-06,365000.0,2021.0
636921,for_sale,1.0,1.0,,Philadelphia,Pennsylvania,19144.0,74340.0,,54000.0,
636922,for_sale,4.0,3.0,0.03,Philadelphia,Pennsylvania,19134.0,1579.0,2021-06-27,185000.0,2021.0
636923,for_sale,3.0,1.0,0.02,Philadelphia,Pennsylvania,19120.0,1120.0,1999-05-28,69999.0,1999.0
