,bed,bath,acre_lot,zip_code,house_size,prev_sold_date,price
3897,1.0,1.0,0.23,2135.0,535.0,2022-02-18,374900.0
3899,2.0,2.0,0.23,2129.0,932.0,2021-12-01,799000.0
3900,3.0,3.0,0.23,2135.0,2096.0,2021-11-11,999000.0
3935,3.0,1.0,0.3,2703.0,1280.0,2021-12-06,399900.0
3941,4.0,2.0,0.79,2056.0,2080.0,2019-07-16,599900.0
3942,2.0,2.0,0.23,2056.0,1664.0,2021-10-18,559900.0
3948,1.0,2.0,0.23,2467.0,899.0,2021-08-20,512500.0
4001,4.0,3.0,0.19,2155.0,2411.0,2019-07-30,859999.0
4002,5.0,4.0,0.23,2130.0,2502.0,2021-12-19,1875000.0
4011,2.0,2.0,0.23,2143.0,1140.0,2020-04-21,955000.0
4037,4.0,3.0,0.23,2138.0,2432.0,2022-02-28,2890000.0
4039,2.0,3.0,0.23,2116.0,2500.0,2018-10-12,3490000.0
4057,2.0,2.0,0.23,1845.0,1108.0,2017-06-06,399000.0
4082,4.0,3.0,0.31,2472.0,2800.0,2019-06-07,1849900.0
4087,2.0,2.0,0.23,2150.0,738.0,2019-06-17,479000.0
4133,2.0,2.0,0.23,2150.0,1310.0,2018-11-13,524900.0
4134,3.0,2.0,0.23,1845.0,1300.0,2021-05-12,359999.0
4140,2.0,1.0,0.23,2474.0,959.0,2020-06-05,449000.0
4143,1.0,1.0,0.23,2116.0,649.0,2018-11-09,859900.0
4146,1.0,1.0,0.23,2143.0,751.0,2019-03-15,790000.0
4167,2.0,2.0,0.23,2150.0,1468.0,2018-07-03,550000.0
4170,2.0,1.0,0.01,2135.0,649.0,2022-03-09,449000.0
4185,2.0,1.0,4.04,2467.0,959.0,2019-08-12,595000.0
4186,2.0,1.0,0.23,2140.0,709.0,2018-08-03,595000.0
4217,4.0,3.0,0.09,2445.0,1942.0,2020-06-25,1550000.0
4231,2.0,1.0,1.73,2460.0,731.0,2022-01-10,549900.0
4243,2.0,1.0,0.23,2446.0,904.0,2021-11-02,789900.0
4250,1.0,2.0,0.23,2129.0,659.0,2020-04-10,700000.0
4270,3.0,3.0,0.23,2139.0,2341.0,2020-01-27,2250000.0
4276,2.0,3.0,0.23,2150.0,1963.0,2020-02-18,619900.0
4303,3.0,1.0,0.23,2116.0,439.0,2018-07-12,640000.0
4315,1.0,1.0,0.23,2215.0,697.0,2018-11-01,769000.0
4317,2.0,2.0,0.23,2199.0,1493.0,2021-06-10,2599000.0
4331,4.0,2.0,0.38,1845.0,2218.0,2021-10-28,719900.0
4341,2.0,1.0,0.23,2478.0,1061.0,2018-09-20,658000.0
4375,1.0,1.0,0.23,2141.0,781.0,2019-07-02,799000.0
4420,2.0,2.0,0.23,2155.0,1206.0,2020-01-14,639000.0
4429,2.0,2.0,0.23,2446.0,1213.0,2019-07-22,1275000.0
4480,3.0,3.0,0.23,2145.0,2308.0,2020-04-15,1199000.0
4507,2.0,1.0,0.03,2478.0,1138.0,2018-10-31,619900.0
4512,1.0,1.0,0.23,2446.0,699.0,2022-01-11,635000.0
4514,1.0,1.0,0.38,2467.0,840.0,2020-09-14,499900.0
4522,2.0,3.0,0.23,2139.0,1987.0,2020-10-28,1895000.0
4538,2.0,1.0,0.23,2129.0,847.0,2019-07-31,575000.0
4593,2.0,2.0,1.0,2155.0,1168.0,2021-12-28,599000.0
4594,2.0,3.0,0.23,2116.0,1994.0,2019-01-04,2950000.0
4596,1.0,1.0,0.23,1867.0,965.0,2016-11-16,435000.0
4613,1.0,1.0,0.02,2114.0,987.0,2020-02-14,859000.0
4614,1.0,1.0,0.23,2446.0,780.0,2019-04-12,699000.0
4618,2.0,2.0,0.03,2114.0,1216.0,2019-05-31,759000.0
4621,1.0,1.0,0.23,2472.0,778.0,2021-07-01,569000.0
4643,1.0,1.0,0.23,2129.0,674.0,2018-09-12,599000.0
4656,3.0,1.0,0.23,2114.0,638.0,2020-11-05,469900.0
4669,5.0,3.0,0.23,2445.0,2490.0,2019-08-02,2299000.0
4672,4.0,4.0,0.23,2139.0,2172.0,2020-11-24,1875000.0
4674,1.0,1.0,0.23,2108.0,505.0,2020-11-04,729000.0
4683,2.0,1.0,0.23,2478.0,748.0,2021-11-17,495000.0
4693,2.0,2.0,0.03,2116.0,1160.0,2018-12-12,1999000.0
4694,3.0,2.0,0.07,2155.0,1481.0,2021-12-22,610000.0
4700,2.0,2.0,0.18,2465.0,1072.0,2018-05-15,725000.0
4726,4.0,2.0,0.23,2139.0,1304.0,2019-07-09,1495000.0
4747,2.0,2.0,0.23,2115.0,1065.0,2018-11-16,1320000.0
4786,2.0,1.0,0.23,2144.0,1511.0,2018-06-05,795000.0
4790,2.0,1.0,1.0,2155.0,843.0,2021-04-27,429900.0
4795,2.0,2.0,0.23,2114.0,1197.0,2018-03-14,825000.0
4798,3.0,3.0,0.23,2445.0,1923.0,2018-07-31,1299000.0
4809,3.0,2.0,0.23,2148.0,1792.0,2020-12-23,549990.0
4831,3.0,4.0,0.23,2138.0,2913.0,2019-01-23,3400000.0
4876,2.0,1.0,0.23,2445.0,1025.0,2019-08-27,749000.0
4878,3.0,3.0,0.23,2143.0,1503.0,2019-12-05,1099000.0
4924,3.0,3.0,0.23,2478.0,1822.0,2018-12-18,975000.0
4951,2.0,1.0,0.23,2129.0,1115.0,2019-08-02,939900.0
4957,2.0,1.0,0.23,2148.0,1290.0,2018-08-10,485000.0
4969,3.0,2.0,0.19,1810.0,1750.0,2016-06-28,719900.0
4971,1.0,1.0,0.02,2115.0,770.0,2018-08-01,549000.0
5013,3.0,2.0,0.23,2474.0,1968.0,2018-10-25,869000.0
